# NZ6 dispatch trace (NOVAZ_SMOKE_TRACE_NZ6)
# regenerate: make -C examples/novaz capture-z6-trace PROJECT=zork-zero
# nz6_entry=$2002 zvm_erase_line=$E6DF zvm_set_text_style=$E32F zvm_buffer_mode=$E386
# <seq> <id> <opname> count=<n> ops=<op0>,<op1>,<op2>,<op3>  (ops hex; id '--' = ROM-side hook)
0 08 select count=0 ops=1101,088D,7876,A9BA
1 00 reset count=0 ops=1101,088D,7876,A9BA
2 37 mouse_window count=1 ops=FFFF,0026,7876,A9BA
3 31 window_size count=3 ops=0007,0032,0050,A9BA
4 26 picture_data count=2 ops=017E,6E3B,0050,A9BA
5 26 picture_data count=2 ops=017F,6E3B,0004,A9BA
6 26 picture_data count=2 ops=017D,6E3B,0004,A9BA
7 26 picture_data count=2 ops=01E2,6E3B,0004,A9BA
8 26 picture_data count=2 ops=01E3,6E3B,0004,A9BA
9 26 picture_data count=2 ops=01DE,6E3B,0004,A9BA
10 06 set_colour count=2 ops=0002,0009,0004,A9BA
11 02 set_window count=1 ops=0007,0009,0004,A9BA
12 06 set_colour count=2 ops=0002,0009,0004,A9BA
13 02 set_window count=1 ops=0000,0009,0004,A9BA
14 03 erase_window count=1 ops=FFFF,0001,FFFF,000A
15 08 select count=1 ops=FFFF,0001,FFFF,000A
16 26 picture_data count=2 ops=0183,6E3B,FFFF,000A
17 30 move_window count=3 ops=0000,000B,000C,000A
18 31 window_size count=3 ops=0000,0028,003A,000A
19 30 move_window count=3 ops=0001,0001,0001,000A
20 31 window_size count=3 ops=0001,000A,0050,000A
21 33 get_wind_prop count=2 ops=0000,0000,0050,000A
22 33 get_wind_prop count=2 ops=0000,0003,0050,000A
23 31 window_size count=3 ops=0000,0028,003A,000A
24 02 set_window count=1 ops=0007,0028,003A,000A
25 25 draw_picture count=3 ops=0005,0001,0001,008E
26 26 picture_data count=2 ops=0005,6E3B,0001,008E
27 26 picture_data count=2 ops=01F1,6E3B,0001,008E
28 25 draw_picture count=3 ops=01F1,000A,0001,008E
29 26 picture_data count=2 ops=01F2,6E3B,0001,008E
30 25 draw_picture count=3 ops=01F2,000A,0047,008E
31 3C picture_table count=1 ops=CFF0,000A,0047,008E
32 02 set_window count=1 ops=0001,0034,0047,008E
33 04 set_cursor count=2 ops=0004,000A,0047,008E
34 06 set_colour count=2 ops=0002,FFFF,0047,008E
35 04 set_cursor count=2 ops=0004,003E,0047,008E
36 06 set_colour count=2 ops=0002,0009,0047,008E
37 02 set_window count=1 ops=0000,0009,0047,008E
38 02 set_window count=1 ops=0001,0001,0047,008E
39 04 set_cursor count=2 ops=0002,000A,0047,008E
40 06 set_colour count=2 ops=0002,FFFF,0047,008E
41 04 set_cursor count=2 ops=0003,000A,0012,008E
42 04 set_cursor count=2 ops=0003,000A,0012,008E
43 04 set_cursor count=2 ops=0003,0035,FFED,00CE
